Draw Number,Date,Jackpot,1,2,3,4,5,PB,Multiplier,Winners
1,04-Jul-01,,4,10,11,12,18,2,,
2,07-Jul-01,,2,10,11,26,28,10,,
3,11-Jul-01,,5,10,11,13,15,10,,
4,14-Jul-01,,9,11,24,26,33,4,,
5,18-Jul-01,,8,11,12,19,31,10,,
6,21-Jul-01,,6,13,16,25,36,5,,
7,25-Jul-01,,4,11,12,24,28,7,,
8,28-Jul-01,,5,8,24,29,31,10,,
9,01-Aug-01,,1,8,22,31,33,6,,
10,04-Aug-01,,5,8,22,25,28,6,,
11,08-Aug-01,,1,9,15,23,32,1,,
12,11-Aug-01,,5,14,18,21,30,7,,
13,15-Aug-01,,3,4,16,17,34,4,,
14,18-Aug-01,,10,13,21,23,24,2,,
15,22-Aug-01,,2,5,10,14,15,1,,
16,25-Aug-01,,4,25,30,32,34,3,,
17,29-Aug-01,,5,9,17,18,24,4,,
18,01-Sep-01,,3,19,26,28,33,7,,
19,05-Sep-01,,1,7,8,11,21,7,,
20,08-Sep-01,,10,16,21,22,36,2,,
21,12-Sep-01,,2,6,17,20,35,6,,
22,15-Sep-01,,7,20,23,25,35,10,,
23,19-Sep-01,,6,10,18,24,32,5,,
24,22-Sep-01,,8,16,22,31,36,2,,
25,26-Sep-01,,1,5,17,20,36,5,,
26,29-Sep-01,,4,5,26,30,34,9,,
27,03-Oct-01,,1,9,12,15,30,10,,
28,06-Oct-01,,2,3,18,22,31,10,,
29,10-Oct-01,,13,17,28,30,32,1,,
30,13-Oct-01,,5,8,10,23,32,6,,
31,17-Oct-01,,8,14,19,31,32,4,,
32,20-Oct-01,,12,13,14,32,36,5,,
33,24-Oct-01,,1,12,18,19,36,3,,
34,27-Oct-01,,6,15,16,17,28,3,,
35,31-Oct-01,,7,24,26,27,32,9,,
36,03-Nov-01,,1,20,29,34,36,4,,
37,07-Nov-01,,11,12,14,25,29,3,,
38,10-Nov-01,,4,7,11,14,19,9,,
39,13-Nov-01,,3,4,10,16,31,2,,
40,17-Nov-01,,6,9,16,21,30,10,,
41,21-Nov-01,,6,8,14,31,36,9,,
42,24-Nov-01,,6,19,20,25,34,1,,
43,28-Nov-01,,6,8,15,27,28,1,,
44,01-Dec-01,,7,12,17,19,20,3,,
45,05-Dec-01,,13,14,24,27,34,7,,
46,08-Dec-01,,3,10,12,18,26,6,,
47,12-Dec-01,,7,27,28,32,33,9,,
48,15-Dec-01,,9,27,29,34,36,9,,
49,19-Dec-01,,17,18,24,31,34,10,,
50,22-Dec-01,,8,9,19,21,23,7,,
51,26-Dec-01,,15,23,24,29,36,5,,
52,29-Dec-01,,1,7,15,26,29,10,,
53,02-Jan-02,,3,7,22,35,36,9,,
54,05-Jan-02,,10,16,17,18,26,8,,
55,09-Jan-02,,2,16,18,34,36,4,,
56,12-Jan-02,,1,4,10,23,28,5,,
57,16-Jan-02,,2,16,28,31,34,2,,
58,19-Jan-02,,11,12,24,27,34,2,,
59,23-Jan-02,,2,16,27,35,36,9,,
60,26-Jan-02,,10,22,29,32,35,4,,
